time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate
1,60000000000,0.9166666666666666,22.0,0.9166666666666666,0.0,0.0,0.014492753623188406,0.014492753623188406
2,120000000000,1.0,24.0,1.0,0.0,0.0,0.0018115942028985507,0.034420289855072464
3,180000000000,1.0,24.0,1.0,0.0004018775720164609,0.016203703703703703,0.0018115942028985507,0.02717391304347826
4,240000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.028985507246376812
5,300000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.007246376811594203,0.021739130434782608
6,360000000000,1.0,24.0,1.0,0.0006430041152263374,0.009259259259259259,0.0036231884057971015,0.014492753623188406
7,420000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.018115942028985508
8,480000000000,1.0,24.0,1.0,0.0,0.0,0.007246376811594203,0.018115942028985508
9,540000000000,1.0,24.0,1.0,0.0005224408436213992,0.01273148148148148,0.0036231884057971015,0.018115942028985508
10,600000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.014492753623188406
11,660000000000,1.0,24.0,1.0,0.0,0.0,0.005434782608695652,0.018115942028985508
12,720000000000,1.0,24.0,1.0,0.00043402777777777775,0.015046296296296295,0.0036231884057971015,0.028985507246376812
13,780000000000,0.9166666666666666,22.0,0.9166666666666666,0.0,0.0,0.0018115942028985507,0.028985507246376812
14,840000000000,1.0,24.0,1.0,0.0,0.0,0.012681159420289856,0.010869565217391304
15,900000000000,1.0,24.0,1.0,0.0007233796296296296,0.006944444444444444,0.005434782608695652,0.03260869565217391
16,960000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.016304347826086956,0.005434782608695652
17,1020000000000,1.0,24.0,1.0,0.0,0.0,0.0018115942028985507,0.034420289855072464
18,1080000000000,1.0,24.0,1.0,0.000442065329218107,0.015046296296296295,0.0018115942028985507,0.028985507246376812
19,1140000000000,1.0,24.0,1.0,0.0,0.0,0.005434782608695652,0.019927536231884056
20,1200000000000,0.9166666666666666,22.0,0.9166666666666666,0.0,0.0,0.012681159420289856,0.009057971014492754
21,1260000000000,1.0,24.0,1.0,0.00048225308641975306,0.013888888888888888,0.0,0.025362318840579712
22,1320000000000,1.0,24.0,1.0,0.0,0.0,0.005434782608695652,0.010869565217391304
23,1380000000000,1.0,24.0,1.0,0.0,0.0,0.005434782608695652,0.021739130434782608
24,1440000000000,0.9583333333333334,23.0,0.9583333333333334,0.0006028163580246913,0.010416666666666666,0.0018115942028985507,0.021739130434782608
25,1500000000000,1.0,24.0,1.0,0.0,0.0,0.005434782608695652,0.0036231884057971015
26,1560000000000,1.0,24.0,1.0,0.0,0.0,0.0018115942028985507,0.016304347826086956
27,1620000000000,1.0,24.0,1.0,0.0003134645061728395,0.018518518518518517,0.0018115942028985507,0.02717391304347826
28,1680000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.025362318840579712
29,1740000000000,1.0,24.0,1.0,0.0,0.0,0.010869565217391304,0.009057971014492754
30,1800000000000,0.9583333333333334,23.0,0.9583333333333334,0.0006831918724279836,0.008101851851851851,0.0036231884057971015,0.03804347826086957
31,1860000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.018115942028985508,0.009057971014492754
32,1920000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.034420289855072464
33,1980000000000,1.0,24.0,1.0,0.0004018775720164609,0.016203703703703703,0.007246376811594203,0.03260869565217391
34,2040000000000,1.0,24.0,1.0,0.0,0.0,0.010869565217391304,0.02355072463768116
35,2100000000000,0.9166666666666666,22.0,0.9166666666666666,0.0,0.0,0.009057971014492754,0.014492753623188406
36,2160000000000,1.0,24.0,1.0,0.0006831918724279836,0.008101851851851851,0.0018115942028985507,0.02717391304347826
37,2220000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.012681159420289856
38,2280000000000,1.0,24.0,1.0,0.0,0.0,0.005434782608695652,0.012681159420289856
39,2340000000000,0.9166666666666666,22.0,0.9166666666666666,0.0003616898148148148,0.017361111111111112,0.0036231884057971015,0.018115942028985508
40,2400000000000,1.0,24.0,1.0,0.0,0.0,0.0018115942028985507,0.02355072463768116
41,2460000000000,1.0,24.0,1.0,0.0,0.0,0.007246376811594203,0.019927536231884056
42,2520000000000,0.9583333333333334,23.0,0.9583333333333334,0.0005787037037037037,0.011574074074074073,0.009057971014492754,0.021739130434782608
43,2580000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.0018115942028985507,0.030797101449275364
44,2640000000000,1.0,24.0,1.0,0.0,0.0,0.014492753623188406,0.007246376811594203
45,2700000000000,1.0,24.0,1.0,0.0007635673868312757,0.005787037037037037,0.0,0.04528985507246377
46,2760000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.010869565217391304,0.021739130434782608
47,2820000000000,1.0,24.0,1.0,0.0,0.0,0.0,0.034420289855072464
48,2880000000000,1.0,24.0,1.0,0.00028131430041152265,0.019675925925925927,0.0036231884057971015,0.02355072463768116
49,2940000000000,1.0,24.0,1.0,0.0,0.0,0.007246376811594203,0.025362318840579712
50,3000000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.009057971014492754,0.016304347826086956
51,3060000000000,1.0,24.0,1.0,0.0008037551440329218,0.004629629629629629,0.0,0.030797101449275364
52,3120000000000,1.0,24.0,1.0,0.0,0.0,0.018115942028985508,0.007246376811594203
53,3180000000000,1.0,24.0,1.0,0.0,0.0,0.007246376811594203,0.025362318840579712
54,3240000000000,0.9166666666666666,22.0,0.9166666666666666,0.0004018775720164609,0.016203703703703703,0.0036231884057971015,0.021739130434782608
55,3300000000000,1.0,24.0,1.0,0.0,0.0,0.007246376811594203,0.021739130434782608
56,3360000000000,1.0,24.0,1.0,0.0,0.0,0.005434782608695652,0.03260869565217391
57,3420000000000,1.0,24.0,1.0,0.00048225308641975306,0.013888888888888888,0.010869565217391304,0.025362318840579712
58,3480000000000,0.9166666666666666,22.0,0.9166666666666666,0.0,0.0,0.005434782608695652,0.021739130434782608
59,3540000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.019927536231884056
60,3600000000000,1.0,24.0,1.0,0.0006831918724279836,0.008101851851851851,0.0036231884057971015,0.02355072463768116
61,3660000000000,0.9166666666666666,22.0,0.9166666666666666,0.0,0.0,0.009057971014492754,0.016304347826086956
62,3720000000000,1.0,24.0,1.0,0.0,0.0,0.0,0.030797101449275364
63,3780000000000,1.0,24.0,1.0,0.0004018775720164609,0.016203703703703703,0.0018115942028985507,0.021739130434782608
64,3840000000000,1.0,24.0,1.0,0.0,0.0,0.0036231884057971015,0.02717391304347826
65,3900000000000,0.9583333333333334,23.0,0.9583333333333334,0.0,0.0,0.007246376811594203,0.018115942028985508
66,3960000000000,1.0,24.0,1.0,0.0006430041152263374,0.009259259259259259,0.0018115942028985507,0.016304347826086956
