time_index,time_since_epoch_ns,gs_handover_rate,gs_renumber_count,gs_renumber_rate,sat_gs_churn,sat_gs_break_rate,gs_gs_churn,gs_gs_break_rate
1,60000000000,0.9166666666666666,22.0,0.9166666666666666,0.24275816615226337,0.0,0.9311594202898551,0.0
2,120000000000,1.0,24.0,1.0,0.337866512345679,0.0,1.0,0.0
3,180000000000,1.0,24.0,1.0,0.22960873199588477,0.0,0.9945652173913043,0.0
4,240000000000,1.0,24.0,1.0,0.35963220164609055,0.0,1.0,0.0
5,300000000000,0.9583333333333334,23.0,0.9583333333333334,0.3369582690329218,0.0,0.967391304347826,0.0
6,360000000000,1.0,24.0,1.0,0.2656893004115226,0.0,1.0,0.0
7,420000000000,1.0,24.0,1.0,0.2809686856995885,0.0,0.9909420289855072,0.0
8,480000000000,1.0,24.0,1.0,0.35423900462962965,0.0,0.9710144927536232,0.0
9,540000000000,1.0,24.0,1.0,0.3259227109053498,0.0,0.9963768115942029,0.0
10,600000000000,1.0,24.0,1.0,0.3292984825102881,0.0,1.0,0.0
11,660000000000,1.0,24.0,1.0,0.3500996656378601,0.0,0.9873188405797102,0.0
12,720000000000,1.0,24.0,1.0,0.22740644290123457,0.0,0.9945652173913043,0.0
13,780000000000,0.9166666666666666,22.0,0.9166666666666666,0.317700295781893,0.0,0.9239130434782609,0.0
14,840000000000,1.0,24.0,1.0,0.28907857510288065,0.0,1.0,0.0
15,900000000000,1.0,24.0,1.0,0.3079668209876543,0.0,1.0,0.0
16,960000000000,0.9583333333333334,23.0,0.9583333333333334,0.23355516975308643,0.0,0.9637681159420289,0.0
17,1020000000000,1.0,24.0,1.0,0.37423643261316875,0.0,1.0,0.0
18,1080000000000,1.0,24.0,1.0,0.32169495884773663,0.0,1.0,0.0
19,1140000000000,1.0,24.0,1.0,0.2383937757201646,0.0,0.9909420289855072,0.0
20,1200000000000,0.9166666666666666,22.0,0.9166666666666666,0.2255176183127572,0.0,0.9257246376811594,0.0
21,1260000000000,1.0,24.0,1.0,0.37839988425925924,0.0,0.9963768115942029,0.0
22,1320000000000,1.0,24.0,1.0,0.2770061728395062,0.0,0.980072463768116,0.0
23,1380000000000,1.0,24.0,1.0,0.28533307613168724,0.0,0.9836956521739131,0.0
24,1440000000000,0.9583333333333334,23.0,0.9583333333333334,0.41509130658436216,0.0,0.9692028985507246,0.0
25,1500000000000,1.0,24.0,1.0,0.20710358796296297,0.0,0.9909420289855072,0.0
26,1560000000000,1.0,24.0,1.0,0.272191679526749,0.0,1.0,0.0
27,1620000000000,1.0,24.0,1.0,0.3749115869341564,0.0,1.0,0.0
28,1680000000000,1.0,24.0,1.0,0.33378343621399176,0.0,1.0,0.0
29,1740000000000,1.0,24.0,1.0,0.28888567386831276,0.0,0.9891304347826086,0.0
30,1800000000000,0.9583333333333334,23.0,0.9583333333333334,0.3466113683127572,0.0,0.9601449275362319,0.0
31,1860000000000,0.9583333333333334,23.0,0.9583333333333334,0.21659593621399176,0.0,0.9655797101449275,0.0
32,1920000000000,1.0,24.0,1.0,0.3394418724279835,0.0,0.9891304347826086,0.0
33,1980000000000,1.0,24.0,1.0,0.2564782664609053,0.0,1.0,0.0
34,2040000000000,1.0,24.0,1.0,0.304028420781893,0.0,1.0,0.0
35,2100000000000,0.9166666666666666,22.0,0.9166666666666666,0.24687339248971193,0.0,0.9293478260869565,0.0
36,2160000000000,1.0,24.0,1.0,0.42362718621399176,0.0,0.9981884057971014,0.0
37,2220000000000,1.0,24.0,1.0,0.25977366255144035,0.0,1.0,0.0
